date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:25	39701/39701	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:08%20GMT	https://colorlib.com/polygon/octopus/ui-elements-lightbox.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-lightbox.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:25	102843/102843	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:10%20GMT	https://colorlib.com/polygon/octopus/ui-elements-progressbars.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-progressbars.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:25	41569/41569	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:10%20GMT	https://colorlib.com/polygon/octopus/ui-elements-sliders.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-sliders.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:25	34578/34578	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:06%20GMT	https://colorlib.com/polygon/octopus/ui-elements-carousels.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-carousels.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:26	59160/59160	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:05%20GMT	https://colorlib.com/polygon/octopus/ui-elements-accordions.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-accordions.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:26	30564/30564	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:09%20GMT	https://colorlib.com/polygon/octopus/ui-elements-nestable.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-nestable.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:26	33872/33872	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:11%20GMT	https://colorlib.com/polygon/octopus/ui-elements-tree-view.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-tree-view.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:27	32278/32278	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:07%20GMT	https://colorlib.com/polygon/octopus/ui-elements-grid-system.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-grid-system.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:27	52263/52263	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:07%20GMT	https://colorlib.com/polygon/octopus/ui-elements-charts.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-charts.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:27	71851/71851	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:06%20GMT	https://colorlib.com/polygon/octopus/ui-elements-animations.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-animations.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:27	30844/30844	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:07%20GMT	https://colorlib.com/polygon/octopus/ui-elements-extra.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-extra.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:28	59625/59625	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:11:51%20GMT	https://colorlib.com/polygon/octopus/forms-basic.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/forms-basic.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:28	79828/79828	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:11:51%20GMT	https://colorlib.com/polygon/octopus/forms-advanced.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/forms-advanced.html	(from https://colorlib.com/polygon/octopus/index.html)
